#histogram type: discrete-time histogram
#service_time-customer
#lowerBound ; upperBound ; relative frequency
0,0;400,0;NaN
400,0;800,0;NaN
800,0;1200,0;NaN
1200,0;1600,0;NaN
1600,0;2000,0;NaN
2000,0;2400,0;NaN
2400,0;2800,0;NaN
2800,0;3200,0;NaN
3200,0;3600,0;NaN
3600,0;4000,0;NaN
4000,0;4400,0;NaN
4400,0;4800,0;NaN
4800,0;5200,0;NaN
5200,0;5600,0;NaN
5600,0;6000,0;NaN
6000,0;6400,0;NaN
6400,0;6800,0;NaN
6800,0;7200,0;NaN
7200,0;7600,0;NaN
7600,0;8000,0;NaN
8000,0;8400,0;NaN
8400,0;8800,0;NaN
8800,0;9200,0;NaN
9200,0;9600,0;NaN
9600,0;10000,0;NaN
10000,0;10400,0;NaN
10400,0;10800,0;NaN
10800,0;11200,0;NaN
11200,0;11600,0;NaN
11600,0;12000,0;NaN
12000,0;12400,0;NaN
12400,0;12800,0;NaN
12800,0;13200,0;NaN
13200,0;13600,0;NaN
13600,0;14000,0;NaN
14000,0;14400,0;NaN
14400,0;14800,0;NaN
14800,0;15200,0;NaN
15200,0;15600,0;NaN
15600,0;16000,0;NaN
16000,0;16400,0;NaN
16400,0;16800,0;NaN
16800,0;17200,0;NaN
17200,0;17600,0;NaN
17600,0;18000,0;NaN
18000,0;18400,0;NaN
18400,0;18800,0;NaN
18800,0;19200,0;NaN
19200,0;19600,0;NaN
19600,0;20000,0;NaN
