#histogram type: discrete-time histogram
#waiting_time-customer
#lowerBound ; upperBound ; relative frequency
0,0;200,0;NaN
200,0;400,0;NaN
400,0;600,0;NaN
600,0;800,0;NaN
800,0;1000,0;NaN
1000,0;1200,0;NaN
1200,0;1400,0;NaN
1400,0;1600,0;NaN
1600,0;1800,0;NaN
1800,0;2000,0;NaN
2000,0;2200,0;NaN
2200,0;2400,0;NaN
2400,0;2600,0;NaN
2600,0;2800,0;NaN
2800,0;3000,0;NaN
3000,0;3200,0;NaN
3200,0;3400,0;NaN
3400,0;3600,0;NaN
3600,0;3800,0;NaN
3800,0;4000,0;NaN
4000,0;4200,0;NaN
4200,0;4400,0;NaN
4400,0;4600,0;NaN
4600,0;4800,0;NaN
4800,0;5000,0;NaN
5000,0;5200,0;NaN
5200,0;5400,0;NaN
5400,0;5600,0;NaN
5600,0;5800,0;NaN
5800,0;6000,0;NaN
6000,0;6200,0;NaN
6200,0;6400,0;NaN
6400,0;6600,0;NaN
6600,0;6800,0;NaN
6800,0;7000,0;NaN
7000,0;7200,0;NaN
7200,0;7400,0;NaN
7400,0;7600,0;NaN
7600,0;7800,0;NaN
7800,0;8000,0;NaN
8000,0;8200,0;NaN
8200,0;8400,0;NaN
8400,0;8600,0;NaN
8600,0;8800,0;NaN
8800,0;9000,0;NaN
9000,0;9200,0;NaN
9200,0;9400,0;NaN
9400,0;9600,0;NaN
9600,0;9800,0;NaN
9800,0;10000,0;NaN
10000,0;10200,0;NaN
10200,0;10400,0;NaN
10400,0;10600,0;NaN
10600,0;10800,0;NaN
10800,0;11000,0;NaN
11000,0;11200,0;NaN
11200,0;11400,0;NaN
11400,0;11600,0;NaN
11600,0;11800,0;NaN
11800,0;12000,0;NaN
12000,0;12200,0;NaN
12200,0;12400,0;NaN
12400,0;12600,0;NaN
12600,0;12800,0;NaN
12800,0;13000,0;NaN
13000,0;13200,0;NaN
13200,0;13400,0;NaN
13400,0;13600,0;NaN
13600,0;13800,0;NaN
13800,0;14000,0;NaN
14000,0;14200,0;NaN
14200,0;14400,0;NaN
14400,0;14600,0;NaN
14600,0;14800,0;NaN
14800,0;15000,0;NaN
15000,0;15200,0;NaN
15200,0;15400,0;NaN
15400,0;15600,0;NaN
15600,0;15800,0;NaN
15800,0;16000,0;NaN
16000,0;16200,0;NaN
16200,0;16400,0;NaN
16400,0;16600,0;NaN
16600,0;16800,0;NaN
16800,0;17000,0;NaN
17000,0;17200,0;NaN
17200,0;17400,0;NaN
17400,0;17600,0;NaN
17600,0;17800,0;NaN
17800,0;18000,0;NaN
18000,0;18200,0;NaN
18200,0;18400,0;NaN
18400,0;18600,0;NaN
18600,0;18800,0;NaN
18800,0;19000,0;NaN
19000,0;19200,0;NaN
19200,0;19400,0;NaN
19400,0;19600,0;NaN
19600,0;19800,0;NaN
19800,0;20000,0;NaN
