#histogram type: discrete-time histogram
#service_time-customer
#(lowerBound+upperBound)/2 ; probability
200000,0;1,0
600000,0;0,0
1000000,0;0,0
1400000,0;0,0
1800000,0;0,0
2200000,0;0,0
2600000,0;0,0
3000000,0;0,0
3400000,0;0,0
3800000,0;0,0
4200000,0;0,0
4600000,0;0,0
5000000,0;0,0
5400000,0;0,0
5800000,0;0,0
6200000,0;0,0
6600000,0;0,0
7000000,0;0,0
7400000,0;0,0
7800000,0;0,0
8200000,0;0,0
8600000,0;0,0
9000000,0;0,0
9400000,0;0,0
9800000,0;0,0
1,02E7;0,0
1,06E7;0,0
1,1E7;0,0
1,14E7;0,0
1,18E7;0,0
1,22E7;0,0
1,26E7;0,0
1,3E7;0,0
1,34E7;0,0
1,38E7;0,0
1,42E7;0,0
1,46E7;0,0
1,5E7;0,0
1,54E7;0,0
1,58E7;0,0
1,62E7;0,0
1,66E7;0,0
1,7E7;0,0
1,74E7;0,0
1,78E7;0,0
1,82E7;0,0
1,86E7;0,0
1,9E7;0,0
1,94E7;0,0
1,98E7;0,0
