#histogram type: discrete-time histogram
#waiting_time-customer
#(lowerBound+upperBound)/2 ; probability
100000,0;0,22002200220022003
300000,0;0,22002200220022003
500000,0;0,22002200220022003
700000,0;0,22002200220022003
900000,0;0,11991199119911991
1100000,0;0,0
1300000,0;0,0
1500000,0;0,0
1700000,0;0,0
1900000,0;0,0
2100000,0;0,0
2300000,0;0,0
2500000,0;0,0
2700000,0;0,0
2900000,0;0,0
3100000,0;0,0
3300000,0;0,0
3500000,0;0,0
3700000,0;0,0
3900000,0;0,0
4100000,0;0,0
4300000,0;0,0
4500000,0;0,0
4700000,0;0,0
4900000,0;0,0
5100000,0;0,0
5300000,0;0,0
5500000,0;0,0
5700000,0;0,0
5900000,0;0,0
6100000,0;0,0
6300000,0;0,0
6500000,0;0,0
6700000,0;0,0
6900000,0;0,0
7100000,0;0,0
7300000,0;0,0
7500000,0;0,0
7700000,0;0,0
7900000,0;0,0
8100000,0;0,0
8300000,0;0,0
8500000,0;0,0
8700000,0;0,0
8900000,0;0,0
9100000,0;0,0
9300000,0;0,0
9500000,0;0,0
9700000,0;0,0
9900000,0;0,0
1,01E7;0,0
1,03E7;0,0
1,05E7;0,0
1,07E7;0,0
1,09E7;0,0
1,11E7;0,0
1,13E7;0,0
1,15E7;0,0
1,17E7;0,0
1,19E7;0,0
1,21E7;0,0
1,23E7;0,0
1,25E7;0,0
1,27E7;0,0
1,29E7;0,0
1,31E7;0,0
1,33E7;0,0
1,35E7;0,0
1,37E7;0,0
1,39E7;0,0
1,41E7;0,0
1,43E7;0,0
1,45E7;0,0
1,47E7;0,0
1,49E7;0,0
1,51E7;0,0
1,53E7;0,0
1,55E7;0,0
1,57E7;0,0
1,59E7;0,0
1,61E7;0,0
1,63E7;0,0
1,65E7;0,0
1,67E7;0,0
1,69E7;0,0
1,71E7;0,0
1,73E7;0,0
1,75E7;0,0
1,77E7;0,0
1,79E7;0,0
1,81E7;0,0
1,83E7;0,0
1,85E7;0,0
1,87E7;0,0
1,89E7;0,0
1,91E7;0,0
1,93E7;0,0
1,95E7;0,0
1,97E7;0,0
1,99E7;0,0
