#histogram type: discrete-time histogram
#waiting_time-customer
#lowerBound ; upperBound ; probability density
0,0;200000,0;1,1001100110011001E-6
200000,0;400000,0;1,1001100110011001E-6
400000,0;600000,0;1,1001100110011001E-6
600000,0;800000,0;1,1001100110011001E-6
800000,0;1000000,0;5,995599559955995E-7
1000000,0;1200000,0;0,0
1200000,0;1400000,0;0,0
1400000,0;1600000,0;0,0
1600000,0;1800000,0;0,0
1800000,0;2000000,0;0,0
2000000,0;2200000,0;0,0
2200000,0;2400000,0;0,0
2400000,0;2600000,0;0,0
2600000,0;2800000,0;0,0
2800000,0;3000000,0;0,0
3000000,0;3200000,0;0,0
3200000,0;3400000,0;0,0
3400000,0;3600000,0;0,0
3600000,0;3800000,0;0,0
3800000,0;4000000,0;0,0
4000000,0;4200000,0;0,0
4200000,0;4400000,0;0,0
4400000,0;4600000,0;0,0
4600000,0;4800000,0;0,0
4800000,0;5000000,0;0,0
5000000,0;5200000,0;0,0
5200000,0;5400000,0;0,0
5400000,0;5600000,0;0,0
5600000,0;5800000,0;0,0
5800000,0;6000000,0;0,0
6000000,0;6200000,0;0,0
6200000,0;6400000,0;0,0
6400000,0;6600000,0;0,0
6600000,0;6800000,0;0,0
6800000,0;7000000,0;0,0
7000000,0;7200000,0;0,0
7200000,0;7400000,0;0,0
7400000,0;7600000,0;0,0
7600000,0;7800000,0;0,0
7800000,0;8000000,0;0,0
8000000,0;8200000,0;0,0
8200000,0;8400000,0;0,0
8400000,0;8600000,0;0,0
8600000,0;8800000,0;0,0
8800000,0;9000000,0;0,0
9000000,0;9200000,0;0,0
9200000,0;9400000,0;0,0
9400000,0;9600000,0;0,0
9600000,0;9800000,0;0,0
9800000,0;1,0E7;0,0
1,0E7;1,02E7;0,0
1,02E7;1,04E7;0,0
1,04E7;1,06E7;0,0
1,06E7;1,08E7;0,0
1,08E7;1,1E7;0,0
1,1E7;1,12E7;0,0
1,12E7;1,14E7;0,0
1,14E7;1,16E7;0,0
1,16E7;1,18E7;0,0
1,18E7;1,2E7;0,0
1,2E7;1,22E7;0,0
1,22E7;1,24E7;0,0
1,24E7;1,26E7;0,0
1,26E7;1,28E7;0,0
1,28E7;1,3E7;0,0
1,3E7;1,32E7;0,0
1,32E7;1,34E7;0,0
1,34E7;1,36E7;0,0
1,36E7;1,38E7;0,0
1,38E7;1,4E7;0,0
1,4E7;1,42E7;0,0
1,42E7;1,44E7;0,0
1,44E7;1,46E7;0,0
1,46E7;1,48E7;0,0
1,48E7;1,5E7;0,0
1,5E7;1,52E7;0,0
1,52E7;1,54E7;0,0
1,54E7;1,56E7;0,0
1,56E7;1,58E7;0,0
1,58E7;1,6E7;0,0
1,6E7;1,62E7;0,0
1,62E7;1,64E7;0,0
1,64E7;1,66E7;0,0
1,66E7;1,68E7;0,0
1,68E7;1,7E7;0,0
1,7E7;1,72E7;0,0
1,72E7;1,74E7;0,0
1,74E7;1,76E7;0,0
1,76E7;1,78E7;0,0
1,78E7;1,8E7;0,0
1,8E7;1,82E7;0,0
1,82E7;1,84E7;0,0
1,84E7;1,86E7;0,0
1,86E7;1,88E7;0,0
1,88E7;1,9E7;0,0
1,9E7;1,92E7;0,0
1,92E7;1,94E7;0,0
1,94E7;1,96E7;0,0
1,96E7;1,98E7;0,0
1,98E7;2,0E7;0,0
